,0
2081,273514422
2082,266524847
2083,269570944
2084,199660251
2085,17998419
2086,313958561
2087,279203892
2088,309230475
2089,285413652
2090,284973429
2091,283822250
2092,46219937
2093,642002
2094,314952555
2095,310510909
2096,275093866
2097,178999389
2098,290218391
2099,126017695
2100,32708068
2101,304700805
2102,590456
2103,186417919
2104,173809669
2105,298695777
2106,316008868
2107,313990779
2108,190253664
2109,272177046
2110,312166802
2111,305115653
2112,112344644
2113,292099053
2114,116124837
2115,314437335
2116,145573144
2117,39696066
2118,94700239
2119,127257312
2120,314383152
2121,264049882
2122,313965513
2123,300859511
2124,126562463
2125,50445360
2126,1834707
2127,277431949
2128,304094031
2129,156497698
2130,301823436
2131,272289618
2132,290856717
2133,192186612
2134,179148086
2135,299562543
2136,261881823
2137,238730769
2138,249741556
2139,279766151
2140,238429094
2141,169298410
2142,258989653
2143,308634582
2144,287838308
